product_id,product_name,category,unit_price,unit_cost,gross_margin_pct,supplier_country,is_prime_eligible
30,Cuisinart Food Processor,Home & Kitchen,149,71.66,51.9,Vietnam,Y
31,Nike Air Max 270,Clothing,150,92.92,38.1,Taiwan,Y
32,Levi's 501 Jeans,Clothing,69,32.64,52.7,Taiwan,Y
33,Patagonia Fleece Jacket,Clothing,179,109.45,38.9,Germany,Y
34,Under Armour Training Shirt,Clothing,35,20.01,42.8,Japan,Y
35,Columbia Rain Jacket,Clothing,149,67.91,54.4,Taiwan,Y
36,Adidas Ultraboost Running Shoes,Clothing,180,114.18,36.6,Taiwan,Y
37,Carhartt Work Pants,Clothing,59,28.69,51.4,China,N
38,North Face Puffer Vest,Clothing,119,55.21,53.6,Japan,Y
39,Champion Hoodie,Clothing,45,21.08,53.2,Germany,Y
40,Hanes Crew Socks 6pk,Clothing,19,9.98,47.5,Vietnam,Y
41,Peloton Bike Mat,Sports,39,18.78,51.8,Taiwan,Y
42,Resistance Bands Set,Sports,29,17.56,39.4,Germany,Y
43,Yoga Mat Premium,Sports,49,30.71,37.3,China,Y
44,Adjustable Dumbbells 50lb,Sports,299,179.67,39.9,USA,Y
45,Hydro Flask 32oz,Sports,44,22.19,49.6,Japan,N
46,Garmin Forerunner 255,Sports,349,190.95,45.3,Vietnam,N
47,TRX Suspension Trainer,Sports,199,100.42,49.5,Germany,Y
48,Jump Rope Speed,Sports,19,9.86,48.1,USA,Y
49,Foam Roller,Sports,29,16.98,41.4,Germany,N
50,Pull-Up Bar,Sports,39,21.66,44.5,Taiwan,Y
51,Atomic Habits,Books & Media,18,8.89,50.6,Germany,Y
52,The Psychology of Money,Books & Media,17,7.68,54.8,Taiwan,Y
53,Zero to One,Books & Media,16,9.66,39.6,Taiwan,Y
54,Thinking Fast and Slow,Books & Media,16,8.25,48.4,USA,N
55,The Lean Startup,Books & Media,19,11.39,40.1,China,Y
56,Deep Work,Books & Media,17,8.94,47.4,Japan,Y
57,Rich Dad Poor Dad,Books & Media,14,7.7,45.0,Japan,Y
58,The Intelligent Investor,Books & Media,22,10.22,53.5,Japan,Y
59,Sapiens,Books & Media,18,9.67,46.3,Vietnam,Y
60,4-Hour Workweek,Books & Media,17,10.58,37.8,Germany,N
61,Dyson Airwrap,Beauty,599,338.24,43.5,Japan,N
62,La Mer Moisturizer,Beauty,195,99.04,49.2,Vietnam,Y
63,CeraVe Cleanser,Beauty,15,9.65,35.7,China,N
64,Neutrogena SPF50 Sunscreen,Beauty,12,7.4,38.3,Taiwan,Y
65,Olaplex No.3 Treatment,Beauty,30,16.12,46.3,USA,Y
66,Fenty Beauty Foundation,Beauty,38,20.41,46.3,Vietnam,Y
67,Urban Decay Palette,Beauty,54,28.57,47.1,Taiwan,Y
68,The Ordinary Serum,Beauty,10,4.94,50.6,China,Y
69,Mario Badescu Spray,Beauty,9,4.97,44.8,USA,Y
70,Tatcha Rice Wash,Beauty,38,23.99,36.9,Taiwan,Y
71,Whole Bean Coffee 2lb,Grocery,22,13.1,40.5,Japan,Y
72,Organic Oat Milk 6pk,Grocery,18,8.95,50.3,China,Y
73,KIND Bars 12pk,Grocery,14,6.85,51.1,Germany,Y
74,RXBAR Variety 12pk,Grocery,25,15.05,39.8,Japan,Y
75,Ghirardelli Dark Chocolate,Grocery,12,5.83,51.4,Japan,N
76,Organic Almonds 3lb,Grocery,19,10.31,45.7,Germany,N
77,Kirkland Olive Oil,Grocery,19,11.14,41.4,Germany,Y
78,Celsius Energy 12pk,Grocery,23,14.33,37.7,Japan,Y
79,Nature Valley Granola Bars,Grocery,9,4.32,52.0,USA,N
80,Larabar Fruit Bars 16pk,Grocery,18,9.69,46.2,Taiwan,Y
