order_id,customer_id,product_id,order_date,quantity,unit_price,discount_rate,discount_amount,final_unit_price,total_amount,total_cost,gross_profit,payment_method,order_status,sales_channel,warehouse,is_returned
30,112,52,2024-03-02,2,17,10,1.7,15.3,30.6,15.36,15.24,Credit Card,Delivered,Mobile App,MDW2 - Chicago IL,N
31,133,35,2022-06-11,3,149,10,14.9,134.1,402.3,203.73,198.57,Buy Now Pay Later,Shipped,Website,MDW2 - Chicago IL,N
32,83,14,2023-09-20,1,129,5,6.45,122.55,122.55,69.76,52.79,Amazon Pay,Shipped,Website,DAL7 - Dallas TX,N
33,90,58,2023-12-24,1,22,15,3.3,18.7,18.7,10.22,8.48,Debit Card,Processing,Mobile App,ONT8 - Ontario CA,N
34,20,52,2022-11-24,1,17,10,1.7,15.3,15.3,7.68,7.62,Credit Card,Cancelled,Mobile App,DAL7 - Dallas TX,N
35,9,17,2024-01-21,1,89,10,8.9,80.1,80.1,47.71,32.39,Gift Card,Delivered,Website,JFK8 - New York NY,N
36,174,58,2022-06-07,5,22,5,1.1,20.9,104.5,51.1,53.4,Debit Card,Processing,Website,SEA6 - Seattle WA,N
37,72,32,2023-01-17,5,69,0,0.0,69.0,345.0,163.2,181.8,Credit Card,Shipped,Mobile App,MDW2 - Chicago IL,N
38,199,34,2023-08-08,2,35,0,0.0,35.0,70.0,40.02,29.98,Buy Now Pay Later,Processing,Website,JFK8 - New York NY,N
39,19,58,2022-06-29,1,22,5,1.1,20.9,20.9,10.22,10.68,Buy Now Pay Later,Returned,Third-Party Marketplace,SEA6 - Seattle WA,Y
40,89,9,2023-09-07,2,99,0,0.0,99.0,198.0,116.26,81.74,Amazon Pay,Returned,Third-Party Marketplace,SEA6 - Seattle WA,Y
41,45,47,2023-02-16,2,199,0,0.0,199.0,398.0,200.84,197.16,Credit Card,Returned,Mobile App,MDW2 - Chicago IL,Y
42,142,74,2022-09-23,1,25,10,2.5,22.5,22.5,15.05,7.45,Credit Card,Processing,Website,SEA6 - Seattle WA,N
43,185,62,2022-06-01,2,195,10,19.5,175.5,351.0,198.08,152.92,Credit Card,Delivered,Website,DAL7 - Dallas TX,N
44,175,67,2023-01-08,1,54,10,5.4,48.6,48.6,28.57,20.03,Credit Card,Returned,Mobile App,ONT8 - Ontario CA,Y
45,32,67,2023-10-23,1,54,0,0.0,54.0,54.0,28.57,25.43,Credit Card,Cancelled,Third-Party Marketplace,ATL6 - Atlanta GA,N
46,73,11,2023-07-17,1,1399,5,69.95,1329.05,1329.05,799.75,529.3,Credit Card,Delivered,Mobile App,ATL6 - Atlanta GA,N
47,165,22,2022-12-17,2,129,5,6.45,122.55,245.1,119.56,125.54,Amazon Pay,Processing,Mobile App,ATL6 - Atlanta GA,N
48,11,4,2023-06-27,1,1099,15,164.85,934.15,934.15,599.23,334.92,Amazon Pay,Processing,Website,SEA6 - Seattle WA,N
49,8,64,2023-09-11,4,12,0,0.0,12.0,48.0,29.6,18.4,PayPal,Shipped,Mobile App,MDW2 - Chicago IL,N
50,117,10,2024-05-01,2,149,0,0.0,149.0,298.0,138.48,159.52,Credit Card,Shipped,Mobile App,MDW2 - Chicago IL,N
51,184,41,2024-03-27,2,39,10,3.9,35.1,70.2,37.56,32.64,Credit Card,Delivered,Mobile App,MDW2 - Chicago IL,N
52,62,60,2022-10-16,1,17,5,0.85,16.15,16.15,10.58,5.57,Credit Card,Delivered,Website,ATL6 - Atlanta GA,N
53,108,32,2023-11-02,5,69,15,10.35,58.65,293.25,163.2,130.05,Amazon Pay,Cancelled,Website,JFK8 - New York NY,N
54,128,66,2024-10-15,1,38,10,3.8,34.2,34.2,20.41,13.79,Gift Card,Delivered,Mobile App,JFK8 - New York NY,N
55,56,75,2024-10-10,1,12,0,0.0,12.0,12.0,5.83,6.17,PayPal,Processing,Mobile App,MDW2 - Chicago IL,N
56,138,2,2023-06-26,3,849,5,42.45,806.55,2419.65,1172.85,1246.8,Amazon Pay,Returned,Website,DAL7 - Dallas TX,Y
57,14,73,2023-08-15,2,14,5,0.7,13.3,26.6,13.7,12.9,Debit Card,Delivered,Mobile App,MDW2 - Chicago IL,N
58,160,79,2024-03-17,1,9,20,1.8,7.2,7.2,4.32,2.88,Buy Now Pay Later,Delivered,Mobile App,MDW2 - Chicago IL,N
59,194,19,2024-10-21,1,249,0,0.0,249.0,249.0,132.77,116.23,Credit Card,Delivered,Mobile App,DAL7 - Dallas TX,N
60,133,59,2022-10-14,1,18,15,2.7,15.3,15.3,9.67,5.63,Amazon Pay,Delivered,Website,ATL6 - Atlanta GA,N
61,190,39,2024-11-09,2,45,10,4.5,40.5,81.0,42.16,38.84,Amazon Pay,Shipped,Website,ONT8 - Ontario CA,N
62,95,43,2023-09-23,2,49,20,9.8,39.2,78.4,61.42,16.98,Amazon Pay,Returned,Mobile App,ONT8 - Ontario CA,Y
63,153,61,2023-04-12,1,599,5,29.95,569.05,569.05,338.24,230.81,Debit Card,Returned,Website,SEA6 - Seattle WA,Y
64,185,80,2023-05-12,3,18,0,0.0,18.0,54.0,29.07,24.93,Gift Card,Delivered,Website,ONT8 - Ontario CA,N
65,113,41,2023-02-22,1,39,5,1.95,37.05,37.05,18.78,18.27,Amazon Pay,Delivered,Third-Party Marketplace,SEA6 - Seattle WA,N
66,187,8,2023-10-28,2,49,10,4.9,44.1,88.2,63.68,24.52,Debit Card,Cancelled,Website,JFK8 - New York NY,N
67,118,69,2023-06-26,1,9,0,0.0,9.0,9.0,4.97,4.03,Credit Card,Processing,Website,ATL6 - Atlanta GA,N
68,77,29,2023-08-15,5,449,20,89.8,359.2,1796.0,1168.15,627.85,Amazon Pay,Processing,Mobile App,DAL7 - Dallas TX,N
69,90,72,2023-07-15,4,18,15,2.7,15.3,61.2,35.8,25.4,Debit Card,Delivered,Mobile App,DAL7 - Dallas TX,N
70,89,19,2022-06-11,1,249,0,0.0,249.0,249.0,132.77,116.23,Debit Card,Delivered,Website,DAL7 - Dallas TX,N
71,55,26,2023-07-11,3,449,0,0.0,449.0,1347.0,786.66,560.34,Amazon Pay,Delivered,Mobile App,JFK8 - New York NY,N
72,13,68,2022-07-25,1,10,0,0.0,10.0,10.0,4.94,5.06,Amazon Pay,Delivered,Website,JFK8 - New York NY,N
73,2,71,2024-09-01,5,22,0,0.0,22.0,110.0,65.5,44.5,Credit Card,Shipped,Third-Party Marketplace,MDW2 - Chicago IL,N
74,74,8,2023-04-21,4,49,0,0.0,49.0,196.0,127.36,68.64,Amazon Pay,Shipped,Third-Party Marketplace,JFK8 - New York NY,N
75,107,23,2024-03-24,4,149,0,0.0,149.0,596.0,319.68,276.32,Credit Card,Returned,Mobile App,MDW2 - Chicago IL,Y
76,10,2,2023-11-18,1,849,5,42.45,806.55,806.55,390.95,415.6,Buy Now Pay Later,Delivered,Mobile App,DAL7 - Dallas TX,N
77,35,65,2022-08-19,1,30,0,0.0,30.0,30.0,16.12,13.88,Amazon Pay,Delivered,Mobile App,SEA6 - Seattle WA,N
78,48,2,2023-01-31,2,849,10,84.9,764.1,1528.2,781.9,746.3,PayPal,Delivered,Alexa,DAL7 - Dallas TX,N
79,132,42,2023-01-14,1,29,5,1.45,27.55,27.55,17.56,9.99,Debit Card,Cancelled,Third-Party Marketplace,ONT8 - Ontario CA,N
80,67,50,2023-11-07,1,39,15,5.85,33.15,33.15,21.66,11.49,Amazon Pay,Delivered,Website,SEA6 - Seattle WA,N
81,93,31,2023-09-21,1,150,0,0.0,150.0,150.0,92.92,57.08,Amazon Pay,Delivered,Third-Party Marketplace,SEA6 - Seattle WA,N
82,198,40,2023-08-28,2,19,5,0.95,18.05,36.1,19.96,16.14,Credit Card,Delivered,Third-Party Marketplace,DAL7 - Dallas TX,N
83,40,59,2024-05-01,2,18,5,0.9,17.1,34.2,19.34,14.86,Gift Card,Processing,Mobile App,SEA6 - Seattle WA,N
84,56,32,2022-06-17,2,69,10,6.9,62.1,124.2,65.28,58.92,Debit Card,Shipped,Website,ATL6 - Atlanta GA,N
85,29,8,2023-02-19,3,49,15,7.35,41.65,124.95,95.52,29.43,Credit Card,Processing,Website,ATL6 - Atlanta GA,N
86,114,15,2024-09-28,2,449,5,22.45,426.55,853.1,421.92,431.18,Debit Card,Delivered,Mobile App,DAL7 - Dallas TX,N
87,34,66,2024-08-04,1,38,5,1.9,36.1,36.1,20.41,15.69,Credit Card,Processing,Website,MDW2 - Chicago IL,N
88,1,28,2023-12-07,2,349,0,0.0,349.0,698.0,449.28,248.72,Debit Card,Processing,Website,ONT8 - Ontario CA,N
89,121,5,2022-10-05,1,349,0,0.0,349.0,349.0,188.6,160.4,Buy Now Pay Later,Returned,Mobile App,DAL7 - Dallas TX,Y
90,96,49,2024-02-13,1,29,15,4.35,24.65,24.65,16.98,7.67,Amazon Pay,Delivered,Mobile App,ATL6 - Atlanta GA,N
91,35,45,2024-03-15,1,44,20,8.8,35.2,35.2,22.19,13.01,Amazon Pay,Shipped,Website,ONT8 - Ontario CA,N
92,194,3,2024-05-18,5,1299,0,0.0,1299.0,6495.0,3606.15,2888.85,PayPal,Shipped,Website,MDW2 - Chicago IL,N
93,40,36,2022-08-20,1,180,10,18.0,162.0,162.0,114.18,47.82,Amazon Pay,Delivered,Mobile App,ONT8 - Ontario CA,N
94,62,27,2024-07-03,1,199,10,19.9,179.1,179.1,124.32,54.78,Amazon Pay,Processing,Website,SEA6 - Seattle WA,N
95,12,52,2022-04-26,1,17,10,1.7,15.3,15.3,7.68,7.62,Buy Now Pay Later,Delivered,Website,SEA6 - Seattle WA,N
96,148,41,2023-10-19,2,39,15,5.85,33.15,66.3,37.56,28.74,PayPal,Delivered,Third-Party Marketplace,ATL6 - Atlanta GA,N
97,57,53,2022-12-25,1,16,0,0.0,16.0,16.0,9.66,6.34,Debit Card,Processing,Mobile App,MDW2 - Chicago IL,N
98,165,49,2024-05-02,3,29,0,0.0,29.0,87.0,50.94,36.06,Credit Card,Delivered,Website,ATL6 - Atlanta GA,N
99,122,31,2022-10-23,3,150,0,0.0,150.0,450.0,278.76,171.24,Gift Card,Returned,Mobile App,DAL7 - Dallas TX,Y
100,143,68,2023-02-21,1,10,0,0.0,10.0,10.0,4.94,5.06,Credit Card,Delivered,Website,MDW2 - Chicago IL,N
101,24,69,2023-07-04,2,9,0,0.0,9.0,18.0,9.94,8.06,Amazon Pay,Delivered,Website,ONT8 - Ontario CA,N
102,49,76,2024-09-08,2,19,10,1.9,17.1,34.2,20.62,13.58,Gift Card,Delivered,Website,ONT8 - Ontario CA,N
103,55,25,2024-09-07,5,499,0,0.0,499.0,2495.0,1415.4,1079.6,Amazon Pay,Cancelled,Mobile App,DAL7 - Dallas TX,N
104,62,71,2024-08-12,1,22,0,0.0,22.0,22.0,13.1,8.9,Credit Card,Shipped,Website,ATL6 - Atlanta GA,N
105,128,60,2024-08-19,1,17,20,3.4,13.6,13.6,10.58,3.02,Credit Card,Returned,Website,MDW2 - Chicago IL,Y
106,106,6,2022-10-26,2,399,0,0.0,399.0,798.0,475.16,322.84,Debit Card,Delivered,Mobile App,SEA6 - Seattle WA,N
107,107,38,2024-02-17,1,119,0,0.0,119.0,119.0,55.21,63.79,Credit Card,Shipped,Mobile App,SEA6 - Seattle WA,N
108,87,33,2024-10-01,3,179,0,0.0,179.0,537.0,328.35,208.65,Amazon Pay,Shipped,Website,JFK8 - New York NY,N
109,185,70,2022-05-01,1,38,15,5.7,32.3,32.3,23.99,8.31,PayPal,Shipped,Website,SEA6 - Seattle WA,N
110,13,1,2023-04-19,1,999,10,99.9,899.1,899.1,514.24,384.86,Credit Card,Delivered,Website,DAL7 - Dallas TX,N
111,96,8,2024-09-16,2,49,5,2.45,46.55,93.1,63.68,29.42,Credit Card,Processing,Mobile App,DAL7 - Dallas TX,N
112,4,3,2023-08-11,2,1299,0,0.0,1299.0,2598.0,1442.46,1155.54,PayPal,Delivered,Mobile App,JFK8 - New York NY,N
113,28,13,2024-12-14,2,99,0,0.0,99.0,198.0,104.18,93.82,Credit Card,Delivered,Mobile App,ONT8 - Ontario CA,N
114,96,52,2023-04-08,1,17,0,0.0,17.0,17.0,7.68,9.32,PayPal,Delivered,Website,SEA6 - Seattle WA,N
115,195,5,2024-09-01,1,349,0,0.0,349.0,349.0,188.6,160.4,Credit Card,Delivered,Website,DAL7 - Dallas TX,N
116,112,43,2022-07-15,2,49,10,4.9,44.1,88.2,61.42,26.78,Gift Card,Cancelled,Website,SEA6 - Seattle WA,N
117,146,61,2023-07-29,1,599,20,119.8,479.2,479.2,338.24,140.96,Debit Card,Cancelled,Website,MDW2 - Chicago IL,N
118,5,27,2024-03-26,2,199,15,29.85,169.15,338.3,248.64,89.66,Credit Card,Cancelled,Mobile App,ATL6 - Atlanta GA,N
119,100,70,2022-10-14,1,38,15,5.7,32.3,32.3,23.99,8.31,Amazon Pay,Returned,Website,SEA6 - Seattle WA,Y
120,89,7,2022-06-05,1,139,0,0.0,139.0,139.0,75.28,63.72,Amazon Pay,Delivered,Third-Party Marketplace,DAL7 - Dallas TX,N
121,199,42,2024-07-11,1,29,0,0.0,29.0,29.0,17.56,11.44,Credit Card,Shipped,Third-Party Marketplace,DAL7 - Dallas TX,N
122,48,75,2023-08-28,2,12,0,0.0,12.0,24.0,11.66,12.34,Amazon Pay,Returned,Website,JFK8 - New York NY,Y
123,98,20,2022-08-07,2,399,0,0.0,399.0,798.0,427.22,370.78,Gift Card,Delivered,Website,MDW2 - Chicago IL,N
124,27,17,2024-11-15,1,89,0,0.0,89.0,89.0,47.71,41.29,Credit Card,Delivered,Website,ONT8 - Ontario CA,N
125,153,77,2022-01-26,3,19,10,1.9,17.1,51.3,33.42,17.88,Credit Card,Delivered,Website,ATL6 - Atlanta GA,N
126,63,74,2022-12-14,2,25,5,1.25,23.75,47.5,30.1,17.4,Credit Card,Delivered,Mobile App,ONT8 - Ontario CA,N
127,43,56,2022-06-07,1,17,0,0.0,17.0,17.0,8.94,8.06,Gift Card,Delivered,Mobile App,DAL7 - Dallas TX,N
128,153,79,2023-09-16,1,9,0,0.0,9.0,9.0,4.32,4.68,Credit Card,Delivered,Alexa,DAL7 - Dallas TX,N
129,85,57,2022-10-06,1,14,10,1.4,12.6,12.6,7.7,4.9,Amazon Pay,Delivered,Mobile App,DAL7 - Dallas TX,N
130,81,23,2023-08-20,5,149,15,22.35,126.65,633.25,399.6,233.65,Amazon Pay,Returned,Third-Party Marketplace,JFK8 - New York NY,Y
131,84,49,2024-01-18,1,29,10,2.9,26.1,26.1,16.98,9.12,Debit Card,Delivered,Mobile App,ATL6 - Atlanta GA,N
132,47,71,2023-03-06,1,22,10,2.2,19.8,19.8,13.1,6.7,Credit Card,Shipped,Mobile App,DAL7 - Dallas TX,N
133,173,64,2023-06-02,1,12,0,0.0,12.0,12.0,7.4,4.6,Amazon Pay,Processing,Mobile App,ONT8 - Ontario CA,N
134,115,77,2024-11-03,1,19,0,0.0,19.0,19.0,11.14,7.86,PayPal,Cancelled,Website,ONT8 - Ontario CA,N
135,93,69,2022-08-12,2,9,15,1.35,7.65,15.3,9.94,5.36,Amazon Pay,Returned,Website,SEA6 - Seattle WA,Y
136,157,6,2024-03-29,2,399,5,19.95,379.05,758.1,475.16,282.94,Credit Card,Cancelled,Mobile App,ONT8 - Ontario CA,N
137,3,13,2024-11-28,1,99,0,0.0,99.0,99.0,52.09,46.91,Amazon Pay,Shipped,Website,MDW2 - Chicago IL,N
138,101,60,2024-10-21,3,17,5,0.85,16.15,48.45,31.74,16.71,Buy Now Pay Later,Delivered,Mobile App,MDW2 - Chicago IL,N
139,107,11,2022-10-18,1,1399,15,209.85,1189.15,1189.15,799.75,389.4,Credit Card,Delivered,Mobile App,ATL6 - Atlanta GA,N
140,124,45,2024-07-15,1,44,5,2.2,41.8,41.8,22.19,19.61,Credit Card,Delivered,Mobile App,ONT8 - Ontario CA,N
141,6,44,2022-12-03,2,299,5,14.95,284.05,568.1,359.34,208.76,Amazon Pay,Cancelled,Mobile App,ATL6 - Atlanta GA,N
142,41,43,2023-04-20,2,49,15,7.35,41.65,83.3,61.42,21.88,Amazon Pay,Returned,Website,SEA6 - Seattle WA,Y
143,111,51,2023-02-09,1,18,10,1.8,16.2,16.2,8.89,7.31,Debit Card,Shipped,Website,JFK8 - New York NY,N
144,53,36,2022-05-09,3,180,10,18.0,162.0,486.0,342.54,143.46,PayPal,Processing,Mobile App,MDW2 - Chicago IL,N
145,84,26,2024-09-29,1,449,0,0.0,449.0,449.0,262.22,186.78,Amazon Pay,Shipped,Mobile App,ATL6 - Atlanta GA,N
146,101,76,2024-07-26,1,19,0,0.0,19.0,19.0,10.31,8.69,PayPal,Processing,Mobile App,MDW2 - Chicago IL,N
147,158,76,2022-08-30,1,19,0,0.0,19.0,19.0,10.31,8.69,Credit Card,Delivered,Website,JFK8 - New York NY,N
148,131,50,2024-02-25,1,39,0,0.0,39.0,39.0,21.66,17.34,Debit Card,Delivered,Mobile App,SEA6 - Seattle WA,N
149,45,72,2023-01-19,1,18,0,0.0,18.0,18.0,8.95,9.05,Debit Card,Delivered,Website,MDW2 - Chicago IL,N
150,3,63,2024-11-01,1,15,10,1.5,13.5,13.5,9.65,3.85,Debit Card,Processing,Mobile App,SEA6 - Seattle WA,N
151,114,63,2023-03-28,1,15,5,0.75,14.25,14.25,9.65,4.6,Credit Card,Delivered,Mobile App,JFK8 - New York NY,N
152,200,59,2024-10-11,2,18,10,1.8,16.2,32.4,19.34,13.06,Credit Card,Shipped,Website,ATL6 - Atlanta GA,N
153,94,70,2024-06-22,3,38,0,0.0,38.0,114.0,71.97,42.03,Buy Now Pay Later,Shipped,Website,SEA6 - Seattle WA,N
154,193,32,2024-07-10,1,69,20,13.8,55.2,55.2,32.64,22.56,PayPal,Delivered,Website,ONT8 - Ontario CA,N
155,199,31,2023-12-20,1,150,5,7.5,142.5,142.5,92.92,49.58,Amazon Pay,Cancelled,Website,ATL6 - Atlanta GA,N
156,36,27,2023-12-20,3,199,15,29.85,169.15,507.45,372.96,134.49,Debit Card,Shipped,Website,SEA6 - Seattle WA,N
157,75,38,2024-11-19,2,119,15,17.85,101.15,202.3,110.42,91.88,Amazon Pay,Cancelled,Website,DAL7 - Dallas TX,N
158,16,36,2022-09-29,3,180,0,0.0,180.0,540.0,342.54,197.46,Amazon Pay,Delivered,Mobile App,SEA6 - Seattle WA,N
159,101,63,2024-04-28,1,15,5,0.75,14.25,14.25,9.65,4.6,Credit Card,Delivered,Mobile App,ONT8 - Ontario CA,N
160,104,66,2024-01-26,2,38,5,1.9,36.1,72.2,40.82,31.38,Debit Card,Shipped,Mobile App,SEA6 - Seattle WA,N
161,24,59,2022-05-10,2,18,5,0.9,17.1,34.2,19.34,14.86,Credit Card,Returned,Third-Party Marketplace,JFK8 - New York NY,Y
162,127,35,2022-09-25,1,149,0,0.0,149.0,149.0,67.91,81.09,Debit Card,Shipped,Website,SEA6 - Seattle WA,N
163,196,7,2024-07-30,1,139,10,13.9,125.1,125.1,75.28,49.82,Gift Card,Delivered,Website,DAL7 - Dallas TX,N
164,1,55,2022-09-28,1,19,10,1.9,17.1,17.1,11.39,5.71,Credit Card,Cancelled,Alexa,MDW2 - Chicago IL,N
165,24,47,2022-12-05,1,199,0,0.0,199.0,199.0,100.42,98.58,Amazon Pay,Delivered,Mobile App,JFK8 - New York NY,N
166,110,12,2024-09-03,2,699,0,0.0,699.0,1398.0,706.0,692.0,Debit Card,Delivered,Mobile App,DAL7 - Dallas TX,N
167,3,2,2024-05-14,2,849,10,84.9,764.1,1528.2,781.9,746.3,Debit Card,Processing,Website,ONT8 - Ontario CA,N
168,188,14,2023-09-05,1,129,0,0.0,129.0,129.0,69.76,59.24,Amazon Pay,Delivered,Mobile App,JFK8 - New York NY,N
169,165,19,2022-12-03,1,249,5,12.45,236.55,236.55,132.77,103.78,Amazon Pay,Shipped,Mobile App,JFK8 - New York NY,N
170,106,79,2022-06-27,2,9,10,0.9,8.1,16.2,8.64,7.56,Credit Card,Cancelled,Website,SEA6 - Seattle WA,N
171,99,45,2022-10-14,5,44,5,2.2,41.8,209.0,110.95,98.05,Amazon Pay,Delivered,Website,ATL6 - Atlanta GA,N
172,154,78,2022-02-24,1,23,15,3.45,19.55,19.55,14.33,5.22,Amazon Pay,Returned,Website,ATL6 - Atlanta GA,Y
173,156,66,2022-04-22,1,38,0,0.0,38.0,38.0,20.41,17.59,PayPal,Returned,Website,DAL7 - Dallas TX,Y
174,29,31,2024-12-17,1,150,5,7.5,142.5,142.5,92.92,49.58,Credit Card,Cancelled,Website,MDW2 - Chicago IL,N
175,34,50,2024-01-19,3,39,5,1.95,37.05,111.15,64.98,46.17,Credit Card,Shipped,Mobile App,ONT8 - Ontario CA,N
176,5,76,2022-03-23,1,19,0,0.0,19.0,19.0,10.31,8.69,Gift Card,Cancelled,Website,MDW2 - Chicago IL,N
177,161,65,2024-04-03,3,30,0,0.0,30.0,90.0,48.36,41.64,Debit Card,Delivered,Mobile App,MDW2 - Chicago IL,N
178,22,40,2022-11-15,1,19,20,3.8,15.2,15.2,9.98,5.22,Credit Card,Shipped,Mobile App,SEA6 - Seattle WA,N
179,175,9,2023-05-04,1,99,0,0.0,99.0,99.0,58.13,40.87,Credit Card,Delivered,Website,DAL7 - Dallas TX,N
180,157,78,2022-12-26,1,23,5,1.15,21.85,21.85,14.33,7.52,Amazon Pay,Delivered,Mobile App,JFK8 - New York NY,N
181,128,45,2023-06-15,2,44,10,4.4,39.6,79.2,44.38,34.82,Credit Card,Delivered,Mobile App,MDW2 - Chicago IL,N
182,188,16,2024-05-29,3,49,0,0.0,49.0,147.0,91.23,55.77,Credit Card,Delivered,Mobile App,ATL6 - Atlanta GA,N
183,161,10,2022-04-24,1,149,0,0.0,149.0,149.0,69.24,79.76,Debit Card,Shipped,Website,MDW2 - Chicago IL,N
184,198,14,2022-08-25,4,129,5,6.45,122.55,490.2,279.04,211.16,Debit Card,Delivered,Website,ONT8 - Ontario CA,N
185,63,6,2022-11-04,1,399,0,0.0,399.0,399.0,237.58,161.42,Buy Now Pay Later,Delivered,Website,SEA6 - Seattle WA,N
186,190,54,2023-10-18,1,16,0,0.0,16.0,16.0,8.25,7.75,Credit Card,Delivered,Website,ATL6 - Atlanta GA,N
187,173,7,2022-04-05,1,139,10,13.9,125.1,125.1,75.28,49.82,Credit Card,Cancelled,Mobile App,MDW2 - Chicago IL,N
188,199,40,2022-01-17,1,19,5,0.95,18.05,18.05,9.98,8.07,Credit Card,Delivered,Mobile App,SEA6 - Seattle WA,N
189,160,32,2024-10-07,1,69,5,3.45,65.55,65.55,32.64,32.91,Amazon Pay,Cancelled,Mobile App,ATL6 - Atlanta GA,N
190,195,32,2022-02-18,1,69,15,10.35,58.65,58.65,32.64,26.01,Credit Card,Delivered,Alexa,ONT8 - Ontario CA,N
191,86,1,2023-09-22,3,999,0,0.0,999.0,2997.0,1542.72,1454.28,Debit Card,Delivered,Website,DAL7 - Dallas TX,N
192,16,19,2023-04-20,2,249,0,0.0,249.0,498.0,265.54,232.46,Debit Card,Cancelled,Mobile App,MDW2 - Chicago IL,N
193,118,11,2024-03-18,2,1399,0,0.0,1399.0,2798.0,1599.5,1198.5,Debit Card,Delivered,Website,JFK8 - New York NY,N
194,61,38,2024-03-15,1,119,0,0.0,119.0,119.0,55.21,63.79,Amazon Pay,Processing,Website,MDW2 - Chicago IL,N
